,store,address,phone
0,송파헬리오시티점,서울시 송파구 송파대로 345 ( 헬리오시티상가 3블럭 A동 B1층 22호 )  ,02-777-3363
1,잠실향군타워점, 서울특별시 송파구 올림픽로35길 123 1층  ,02-412-8812
2,문정동환인제약빌딩점,서울특별시 송파구 법원로6길 11 환인빌딩 1층   ,02-449-9569
3,방이역4번출구점,서울 송파구 방이동 206-11  ,02-420-0386
4,위례2차아이파크점,서울시 송파구 위례광장로 230 위례2차 아이파크 B동 1층  ,02-449-9703
5,현대시티몰가든파이브점,서울특별시 송파구 충민로 66 가든파이브 라이프동 테크노관 1층  ,02-2673-2110
6,몽촌토성역점,"서울시 송파구 방이동 44-2, 장은빌딩 1층  ",02-2141-0407
7,문정역엠스테이트점,"서울특별시 송파구 법원로 114, 엠스테이트 B동 지하 1층, B145-147   ",02-6177-9080
8,송파파크하비오점,서울특별시 송파구 송파대로 111 송파파크하비오 205동 1층 110-113  ,02-449-6881
9,석촌호수점,서울시 송파구 석촌호수로 222 제이타워 1층  ,02-415-1235
10,올림픽플라자점,서울시 송파구 양재대로 1222 올림픽선수A 1층212~3호  ,02-402-3571
11,방이점,서울시 송파구 오금로 11길 7  ,02-415-5561
12,잠실신천점,서울시 송파구 석촌호수로 118 1층  ,02-416-9520
